reg_tr,reg_youth_tr,reg_senior_tr,vote_tr,vote_youth_tr,vote_senior_tr,GEOID,turnoutY,turnoutS,ratioYS
3381,238,657,2400,129,507,06081605400,0.542016806722689,0.771689497716895,0.7023768087116503
2967,165,664,2203,96,534,06081605500,0.5818181818181818,0.8042168674698795,0.7234593122233571
4687,385,1226,3389,209,984,06081605000,0.5428571428571428,0.802610114192496,0.6763646922183507
2452,254,579,1899,156,498,06081605200,0.6141732283464567,0.8601036269430051,0.7140688739208805
4007,399,1192,2983,228,1006,06081605600,0.5714285714285714,0.8439597315436241,0.6770803748934962
3704,399,1101,2805,209,933,06081605700,0.5238095238095238,0.8474114441416893,0.6181289235951616
3061,236,768,2186,127,630,06081603900,0.538135593220339,0.8203125,0.6560129136400323
2245,201,481,1458,105,356,06081604400,0.5223880597014925,0.7401247401247402,0.7058108334730839
1932,144,550,1353,78,434,06081604900,0.5416666666666666,0.7890909090909091,0.6864439324116743
1858,145,565,1365,88,472,06081604700,0.6068965517241379,0.8353982300884956,0.7264757451782583
2737,280,710,1973,144,550,06081604800,0.5142857142857142,0.7746478873239436,0.6638961038961039
2161,160,615,1589,91,491,06081604500,0.56875,0.7983739837398374,0.7123854378818737
1670,145,494,1233,84,422,06081604600,0.5793103448275863,0.854251012145749,0.6781500245138096
1926,217,345,1157,107,246,06081602300,0.4930875576036866,0.7130434782608696,0.6915252332246824
1755,191,299,995,89,202,06081604200,0.46596858638743455,0.6755852842809364,0.6897257788606086
2986,315,518,1723,150,345,06081604101,0.47619047619047616,0.666023166023166,0.714975845410628
1396,63,357,906,33,251,06081604102,0.5238095238095238,0.7030812324929971,0.7450199203187252
2029,166,515,1491,101,416,06081604000,0.608433734939759,0.8077669902912621,0.7532292632066729
1111,41,299,741,20,225,06081603801,0.4878048780487805,0.7525083612040134,0.6482384823848237
3146,239,869,2356,131,733,06081603802,0.5481171548117155,0.8434982738780207,0.6498141985421293
2261,171,648,1745,89,560,06081606800,0.52046783625731,0.8641975308641975,0.6022556390977444
1625,121,466,1351,84,417,06081606900,0.6942148760330579,0.8948497854077253,0.7757892859266307
2590,239,523,1660,119,392,06081601902,0.497907949790795,0.7495219885277247,0.6643006575014944
2203,201,523,1447,103,398,06081601901,0.5124378109452736,0.7609942638623327,0.6733793344833621
4303,379,962,2752,189,721,06081602000,0.49868073878627966,0.7494802494802495,0.6653687527217768
2726,282,573,1636,136,400,06081602200,0.48226950354609927,0.6980802792321117,0.6908510638297872
3037,200,642,2311,113,528,06081600100,0.565,0.822429906542056,0.6869886363636363
1129,123,222,674,58,157,06081602100,0.4715447154471545,0.7072072072072072,0.6667702345813268
3599,306,907,2423,168,714,06081601800,0.5490196078431373,0.7872105843439912,0.6974240676662823
2544,222,608,1661,114,455,06081601700,0.5135135135135135,0.7483552631578947,0.6861894861894862
3898,290,1076,2769,183,841,06081602400,0.6310344827586207,0.7815985130111525,0.8073639755627537
