GEOID,mail,youth,adult,latinx
6037104810,,8.234783589,7.0224002,7.955851834
6037122000,,5.422749769,10.25005525,14.1658966
6037192520,,9.758895596,5.515216459,6.032599692
6037192620,,11.97658598,7.38043537,8.40839003
6037183810,,10.72420945,5.765398773,5.330978956
6037183820,,20.07312365,10.41177377,10.37994488
6037185100,,4.886836141,5.501455101,5.381975277
6037191110,,4.632653061,8.299569337,8.828014184
6037124105,,11.13538462,4.291534949,5.052974099
6037124201,,10.65785543,5.811175112,6.847763397
6037189800,,6.228611107,8.186624293,8.469155695
6037189905,,14.10186895,6.156266651,6.150812812
6037207302,,10.23795965,4.674168061,4.36478319
6037120400,,7.067298721,8.143608412,9.750878565
6037191203,,7.264900662,4.656186094,4.100484713
6037121600,,9.360980839,4.771329007,6.510656075
6037127103,,3.6463017,5.104674435,6.892012845
6037127104,,4.423665004,5.84859657,7.079544467
6037189201,,8.768603212,8.012129036,7.765091225
6037190401,,8.676402298,6.477464306,6.218871261
6037120300,,6.543868494,6.449646714,7.78621275
6037121801,,14.63065386,6.4605069,8.154095153
6037186301,,5.067817034,7.250780467,7.216656963
6037186401,,6.234985928,6.593763069,7.252239717
6037183610,,7.499892123,10.25304184,9.837596687
6037122420,,11.07346352,7.855569942,9.075700089
6037213402,,8.143699908,11.06181147,11.8311564
6037122410,,7.047357294,11.66172107,13.83181818
6037123203,,7.289222379,7.09450038,7.933887327
6037123204,,8.103529988,7.348030681,8.403228912
6037123020,,10.11338172,7.828612618,8.523742844
6037185202,,8.566078141,5.531073092,5.565682803
6037122120,,18.5054923,15.16903754,17.54459973
6037122121,,17.53536939,12.11512041,14.1187817
6037185310,,8.897612176,7.471599141,7.984179651
6037185320,,5.612088926,9.167944155,10.26624319
6037199000,,7.517385042,6.459299178,7.067408961
6037134903,,6.458063667,5.602418466,5.775936777
6037134904,,4.770835624,5.309616054,6.669746852
6037123103,,16.61068817,10.75038688,12.27325854
6037232500,,9.786663567,5.884651974,8.774342529
6037234600,,4.762115226,5.274992357,7.077802289
6037201110,,10.57062675,9.227365143,10.30800084
6037201120,,13.56585529,11.07215986,12.61154335
6037123901,,10.67480406,7.966203678,9.081266352
6037123104,,14.24259452,9.181849183,9.585563642
6037190100,,9.581123216,8.006334563,8.374823798
6037191901,,8.127729429,7.326676536,7.470953459
6037241400,,7.129283746,11.81606504,14.99007372
6037190520,,7.887065854,9.224364978,9.031340005
6037191201,,8.769435928,8.732815669,8.077420211
